 #written on  1Dec2019 at 16:53:37 
 #------------------------------------------------- MONTECARLO -------------------------------------------------#
 # Temp      Magnetization     Energy_ave          C_M              Sus              U_E              U_M       #
 #--------------------------------------------------------------------------------------------------------------#
  25.0000   0.83550519E+00  -0.77911542E+02   0.11757710E+01   0.16684575E-02   0.66418132E+00   0.66544024E+00
  27.6316   0.81393559E+00  -0.74764204E+02   0.12126343E+01   0.20123090E-02   0.66327460E+00   0.66495005E+00
  30.2632   0.79058810E+00  -0.71440867E+02   0.12718923E+01   0.24192441E-02   0.66201498E+00   0.66428286E+00
  32.8947   0.76625592E+00  -0.68084127E+02   0.13335515E+01   0.29341298E-02   0.66034539E+00   0.66334182E+00
  35.5263   0.73942613E+00  -0.64521905E+02   0.14043495E+01   0.35938322E-02   0.65808589E+00   0.66198791E+00
  38.1579   0.70985858E+00  -0.60734904E+02   0.14676085E+01   0.44110459E-02   0.65508426E+00   0.66007139E+00
  40.7895   0.67678794E+00  -0.56742752E+02   0.15649544E+01   0.55834312E-02   0.65065686E+00   0.65703480E+00
  43.4211   0.64038864E+00  -0.52588368E+02   0.16389253E+01   0.71311003E-02   0.64484445E+00   0.65248126E+00
  46.0526   0.59837624E+00  -0.48191253E+02   0.17123289E+01   0.93554612E-02   0.63638172E+00   0.64489868E+00
  48.6842   0.55166880E+00  -0.43668941E+02   0.17216844E+01   0.11913054E-01   0.62544914E+00   0.63360306E+00
  51.3158   0.50029902E+00  -0.39133828E+02   0.16418236E+01   0.14407892E-01   0.61204399E+00   0.61705462E+00
  53.9474   0.45335246E+00  -0.35189936E+02   0.14704517E+01   0.15697680E-01   0.59901097E+00   0.59832671E+00
  56.5789   0.40700519E+00  -0.31561116E+02   0.12375110E+01   0.15757752E-01   0.58724204E+00   0.57704497E+00
  59.2105   0.36899114E+00  -0.28622562E+02   0.10168323E+01   0.14786537E-01   0.57809401E+00   0.55805479E+00
  61.8421   0.33690216E+00  -0.26188301E+02   0.84029002E+00   0.13521563E-01   0.57020988E+00   0.53990337E+00
  64.4737   0.31021013E+00  -0.24172414E+02   0.68930003E+00   0.12182116E-01   0.56560115E+00   0.52439617E+00
  67.1053   0.28936051E+00  -0.22544486E+02   0.57927296E+00   0.10850404E-01   0.56078673E+00   0.51278915E+00
  69.7368   0.27114428E+00  -0.21107750E+02   0.49294400E+00   0.96330006E-02   0.55593184E+00   0.50228022E+00
  72.3684   0.25623871E+00  -0.19886224E+02   0.42248414E+00   0.86722238E-02   0.55209468E+00   0.49345021E+00
  75.0000   0.24452098E+00  -0.18862684E+02   0.36897650E+00   0.77449026E-02   0.54846263E+00   0.48934378E+00
